cliente_id,idade,renda_mensal,score_credito,valor,prazo,taxa,tempo_relacionamento,qtd_produtos_ativos,qtd_atrasos_12m,genero,estado_civil,escolaridade,regiao,uf,porte_municipio,tipo_produto,canal_aquisicao
100000,46,15006,757,103160,48,0.0764,3,1,0,F,Solteiro,Superior,Sudeste,ES,Grande,Cartão de Crédito,Agência
100001,22,16700,806,24600,12,0.0501,14,1,0,M,Viúvo,Pós-graduação,Centro-Oeste,MT,Médio,Crédito Pessoal,Agência
100002,35,19140,557,25380,48,0.1189,8,1,1,M,Divorciado,Médio,Sul,RS,Grande,Financiamento Veículo,Agência
100003,55,3968,594,135302,48,0.055,12,4,0,F,Viúvo,Superior,Sudeste,ES,Grande,Empréstimo Consignado,Digital
100004,64,28182,429,73707,60,0.1621,14,4,0,Outro,Divorciado,Superior,Nordeste,MA,Grande,Empréstimo Consignado,Agência
100005,66,11393,413,111846,24,0.2412,1,2,0,F,Casado,Superior,Centro-Oeste,MT,Pequeno,Financiamento Veículo,Digital
100006,44,26354,601,35140,60,0.2443,8,4,0,M,Divorciado,Médio,Norte,AM,Grande,Financiamento Veículo,Agência
100007,21,18099,883,12868,12,0.0748,7,3,0,F,Viúvo,Fundamental,Sudeste,ES,Grande,Crédito Pessoal,Digital
100008,46,17181,877,144486,12,0.2152,1,3,4,M,Viúvo,Superior,Sudeste,RJ,Médio,Financiamento Veículo,Agência
100009,20,13082,627,84490,24,0.1306,12,4,0,F,Divorciado,Fundamental,Sul,RS,Grande,Financiamento Veículo,Agência
100010,29,11096,302,63619,36,0.2398,1,1,0,M,Casado,Pós-graduação,Nordeste,MA,Pequeno,Financiamento Veículo,Agência
100011,32,24350,826,20357,48,0.2439,5,3,0,Outro,Divorciado,Médio,Nordeste,BA,Grande,Empréstimo Consignado,Agência
100012,51,15389,494,16974,36,0.104,9,3,0,M,Divorciado,Fundamental,Sudeste,RJ,Pequeno,Crédito Pessoal,Agência
100013,49,10202,763,66232,48,0.1452,2,3,0,F,Viúvo,Superior,Sudeste,RJ,Médio,Cartão de Crédito,Agência
100014,57,7189,374,9053,36,0.1368,14,3,1,M,Solteiro,Médio,Sul,RS,Pequeno,Financiamento Veículo,Agência
100015,68,8656,445,120454,60,0.2433,3,4,1,M,Divorciado,Médio,Sul,PR,Grande,Financiamento Veículo,Digital
100016,20,12659,458,34447,60,0.1089,7,4,2,M,Divorciado,Superior,Nordeste,PE,Grande,Financiamento Veículo,Digital
100017,56,28128,788,68093,36,0.2185,2,1,2,M,Divorciado,Superior,Sudeste,ES,Grande,Financiamento Veículo,Parceiro
100018,67,13128,499,63058,48,0.1536,3,4,0,M,Viúvo,Superior,Sudeste,SP,Médio,Crédito Pessoal,Agência
100019,55,27884,322,139555,36,0.2166,1,1,1,F,Solteiro,Superior,Sudeste,SP,Grande,Crédito Pessoal,Agência
100020,32,23747,585,110865,60,0.1264,11,2,0,M,Solteiro,Pós-graduação,Centro-Oeste,GO,Pequeno,Cartão de Crédito,Agência
100021,28,21309,780,111364,24,0.1807,9,4,1,F,Viúvo,Pós-graduação,Sudeste,RJ,Grande,Cartão de Crédito,Agência
100022,44,11283,858,106657,24,0.1539,3,3,0,F,Divorciado,Médio,Sudeste,SP,Grande,Financiamento Veículo,Parceiro
100023,21,22467,376,26055,12,0.1238,14,3,1,F,Casado,Médio,Sudeste,MG,Grande,Crédito Pessoal,Parceiro
100024,59,8692,418,118190,48,0.1711,5,1,0,M,Viúvo,Superior,Centro-Oeste,DF,Pequeno,Empréstimo Consignado,Agência
100025,40,28050,873,56601,12,0.0663,12,4,0,F,Casado,Fundamental,Nordeste,CE,Médio,Financiamento Veículo,Agência
100026,45,20510,660,43109,48,0.1346,1,4,3,M,Casado,Médio,Sul,SC,Grande,Cartão de Crédito,Digital
100027,35,9217,759,54460,12,0.1128,10,1,0,M,Casado,Pós-graduação,Sudeste,MG,Médio,Financiamento Veículo,Parceiro
100028,66,27974,541,9273,36,0.1205,2,4,2,M,Casado,Médio,Sudeste,MG,Médio,Financiamento Veículo,Agência
100029,39,3057,547,28492,12,0.1914,10,1,0,M,Viúvo,Superior,Sudeste,RJ,Grande,Crédito Pessoal,Parceiro
100030,69,5864,754,68845,24,0.1489,10,4,0,M,Divorciado,Superior,Sudeste,SP,Médio,Financiamento Veículo,Digital
100031,32,24684,629,6979,60,0.1888,13,1,0,F,Viúvo,Superior,Norte,TO,Médio,Crédito Pessoal,Agência
100032,43,21903,463,79605,60,0.2144,1,3,1,F,Solteiro,Pós-graduação,Sudeste,MG,Médio,Crédito Pessoal,Agência
100033,39,21428,446,113271,60,0.1634,14,4,2,M,Divorciado,Fundamental,Nordeste,PE,Grande,Financiamento Veículo,Digital
100034,32,4254,331,87779,12,0.2414,14,3,1,M,Casado,Médio,Sul,SC,Pequeno,Financiamento Veículo,Parceiro
100035,26,14433,365,16561,24,0.1916,7,2,0,F,Casado,Superior,Sudeste,RJ,Médio,Crédito Pessoal,Agência
100036,30,25166,649,65320,60,0.0873,14,2,0,M,Viúvo,Fundamental,Nordeste,BA,Pequeno,Crédito Pessoal,Agência
100037,48,2883,525,37879,60,0.112,14,2,0,M,Casado,Superior,Sudeste,RJ,Médio,Cartão de Crédito,Digital
100038,40,12012,871,114629,48,0.1244,1,2,4,F,Divorciado,Fundamental,Sudeste,MG,Grande,Financiamento Veículo,Digital
100039,30,26932,600,130778,24,0.2071,3,2,0,M,Divorciado,Médio,Norte,PA,Pequeno,Empréstimo Consignado,Digital
100040,40,10680,526,136390,12,0.1533,10,2,0,F,Viúvo,Fundamental,Nordeste,CE,Médio,Cartão de Crédito,Digital
100041,44,16529,642,57082,36,0.1052,6,3,0,F,Solteiro,Pós-graduação,Sudeste,ES,Pequeno,Empréstimo Consignado,Digital
100042,69,17766,304,9942,36,0.2185,11,4,0,F,Solteiro,Fundamental,Sudeste,MG,Médio,Financiamento Veículo,Digital
100043,40,6810,620,105885,12,0.0811,14,1,0,M,Divorciado,Fundamental,Sudeste,SP,Pequeno,Crédito Pessoal,Agência
100044,49,9116,305,88068,48,0.1459,14,4,0,Outro,Casado,Pós-graduação,Sudeste,MG,Pequeno,Financiamento Veículo,Digital
100045,67,9712,348,59771,24,0.1393,13,2,0,F,Solteiro,Superior,Centro-Oeste,GO,Grande,Crédito Pessoal,Agência
100046,56,23594,509,144164,24,0.2451,8,3,0,M,Casado,Superior,Norte,RO,Médio,Financiamento Veículo,Digital
100047,61,21140,302,99348,36,0.2161,8,2,0,M,Solteiro,Pós-graduação,Sudeste,MG,Pequeno,Empréstimo Consignado,Digital
100048,54,17978,793,51015,48,0.1717,4,3,0,F,Solteiro,Médio,Nordeste,BA,Pequeno,Crédito Pessoal,Digital
100049,39,21288,360,77819,36,0.0635,10,2,1,M,Solteiro,Médio,Nordeste,PE,Médio,Crédito Pessoal,Agência
100050,43,11252,524,82399,48,0.1409,11,3,4,M,Divorciado,Pós-graduação,Nordeste,PE,Médio,Cartão de Crédito,Agência
100051,69,16720,861,47382,36,0.111,9,3,0,M,Solteiro,Pós-graduação,Nordeste,PE,Grande,Cartão de Crédito,Agência
100052,50,27582,686,101486,60,0.0991,12,2,0,M,Divorciado,Fundamental,Nordeste,CE,Pequeno,Financiamento Veículo,Parceiro
100053,58,16823,432,141663,48,0.1187,2,3,1,F,Divorciado,Superior,Sudeste,RJ,Médio,Financiamento Veículo,Digital
100054,62,19174,665,80717,12,0.0892,11,4,1,F,Casado,Pós-graduação,Sudeste,ES,Médio,Empréstimo Consignado,Digital
100055,25,29594,867,108855,60,0.1981,3,1,1,F,Divorciado,Pós-graduação,Nordeste,MA,Médio,Financiamento Veículo,Digital
100056,63,20919,501,27246,48,0.2405,6,2,0,M,Casado,Fundamental,Nordeste,CE,Médio,Empréstimo Consignado,Parceiro
100057,48,3687,745,59385,24,0.1508,5,2,1,F,Solteiro,Pós-graduação,Nordeste,PE,Médio,Financiamento Veículo,Digital
100058,28,22108,861,87859,24,0.1276,8,3,2,F,Viúvo,Médio,Sudeste,RJ,Grande,Financiamento Veículo,Agência
100059,26,14620,567,63903,36,0.2341,5,2,1,M,Solteiro,Fundamental,Sul,RS,Grande,Financiamento Veículo,Agência
