cliente_id,idade,renda_mensal,score_credito,valor,prazo,taxa,tempo_relacionamento,qtd_produtos_ativos,qtd_atrasos_12m,genero,estado_civil,escolaridade,regiao,uf,porte_municipio,tipo_produto,canal_aquisicao
100000,32,13794,403,74536,12,0.0811,8,2,4,F,Casado,Médio,Sudeste,RJ,Grande,Cartão de Crédito,Digital
100001,51,19930,855,20769,24,0.2343,1,4,0,F,Viúvo,Médio,Sudeste,RJ,Médio,Financiamento Veículo,Agência
100002,40,28108,842,76145,12,0.1697,1,3,0,M,Divorciado,Pós-graduação,Sul,SC,Pequeno,Crédito Pessoal,Digital
100003,44,24587,654,115484,24,0.1733,1,2,0,F,Viúvo,Fundamental,Sudeste,MG,Médio,Financiamento Veículo,Digital
100004,28,19089,339,25436,36,0.2312,4,4,0,M,Divorciado,Médio,Norte,RO,Médio,Crédito Pessoal,Digital
100005,47,17445,557,62072,36,0.0502,10,4,1,M,Solteiro,Médio,Sudeste,RJ,Médio,Cartão de Crédito,Agência
100006,48,5740,882,106310,12,0.1818,1,2,1,F,Casado,Pós-graduação,Sudeste,ES,Pequeno,Crédito Pessoal,Digital
100007,35,5123,557,43906,48,0.1942,7,2,0,F,Divorciado,Médio,Sudeste,SP,Grande,Financiamento Veículo,Agência
100008,56,22659,615,142443,24,0.2012,12,4,3,M,Casado,Superior,Sul,RS,Pequeno,Empréstimo Consignado,Agência
100009,27,2249,347,108638,48,0.2348,1,1,3,F,Casado,Superior,Sudeste,SP,Pequeno,Empréstimo Consignado,Agência
100010,59,6644,708,81214,36,0.0848,11,1,0,F,Solteiro,Pós-graduação,Sul,PR,Pequeno,Empréstimo Consignado,Digital
100011,48,7999,433,144281,12,0.1051,8,1,2,M,Divorciado,Fundamental,Nordeste,MA,Grande,Cartão de Crédito,Agência
100012,33,11662,659,75604,36,0.1108,13,4,0,M,Divorciado,Superior,Sudeste,RJ,Grande,Empréstimo Consignado,Digital
100013,44,5270,595,73141,60,0.1261,1,4,0,Outro,Divorciado,Superior,Sudeste,MG,Médio,Crédito Pessoal,Digital
100014,40,14817,506,147290,60,0.1807,8,4,0,F,Divorciado,Fundamental,Sudeste,RJ,Grande,Empréstimo Consignado,Agência
100015,58,12386,679,142722,24,0.24,9,1,0,F,Casado,Médio,Norte,TO,Grande,Crédito Pessoal,Digital
100016,60,5168,463,14009,24,0.1084,7,4,0,F,Divorciado,Pós-graduação,Sudeste,ES,Pequeno,Empréstimo Consignado,Digital
100017,41,29191,419,86692,48,0.2335,7,3,0,F,Casado,Pós-graduação,Sudeste,ES,Grande,Empréstimo Consignado,Parceiro
100018,43,24138,684,79105,24,0.0671,6,3,0,F,Viúvo,Superior,Sul,RS,Médio,Financiamento Veículo,Digital
100019,44,17035,610,40670,48,0.1619,6,2,0,F,Divorciado,Médio,Sul,PR,Grande,Crédito Pessoal,Digital
100020,22,7447,773,100040,24,0.2412,13,4,0,M,Divorciado,Médio,Centro-Oeste,DF,Médio,Empréstimo Consignado,Digital
100021,32,22712,415,12621,48,0.0954,3,2,4,M,Casado,Pós-graduação,Centro-Oeste,MS,Pequeno,Cartão de Crédito,Digital
